,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Dqua|LOC106741765,54.1755797654,1.56167677846,0.396557286939,3.93808619812,8.21340907106e-05,0.00556921948397
Dqua|LOC106743319,22.9619774129,-1.49419817814,0.379281511198,-3.93954921088,8.16348562271e-05,0.00556921948397
Dqua|LOC106742097,452.0486344,1.4765183012,0.375947101362,3.92746292193,8.5846650251e-05,0.00570332000243
Dqua|LOC106742126,1816.88621541,0.967383151604,0.246441681805,3.92540395164,8.6584313917e-05,0.00570332000243
Dqua|LOC106742423,1390.40317987,1.20540912122,0.307008698371,3.92630282992,8.62615408112e-05,0.00570332000243
Dqua|LOC106743640,2997.42800165,-1.16165693893,0.295888976194,-3.92598924728,8.63740140762e-05,0.00570332000243
Dqua|LOC106741356,5819.63650861,-0.703652790934,0.179648433321,-3.91683232592,8.97201054263e-05,0.00587174677061
Dqua|LOC106745419,762.630449789,-1.54290788374,0.394577292847,-3.9102804741,9.21890121099e-05,0.00599464960797
Dqua|LOC106741859,91.4543902884,1.5490005975,0.398317732384,3.88885673813,0.000100717545414,0.00650750815721
Dqua|LOC106741234,17113.0713793,0.701274057307,0.180586413193,3.88331572074,0.000103041631784,0.00661553362545
Dqua|LOC106745472,382.696017374,1.21193985827,0.312923820152,3.87295495014,0.000107523708533,0.00685987735446
Dqua|LOC106747755,43094.3570796,-0.957957877218,0.247650917091,-3.868178194,0.000109651524545,0.00695190665614
Dqua|LOC106748031,4575.6062127,-0.961476484206,0.248982768472,-3.86161857749,0.000112638320694,0.00709691382062
Dqua|LOC106748987,48918.1256812,-0.826593219632,0.214831948652,-3.84762706301,0.000119267423386,0.00746068439604
Dqua|LOC106749918,3364.33942033,-1.1093158345,0.288406238664,-3.8463655975,0.00011988284272,0.00746068439604
Dqua|LOC106742412,1030.69620433,0.679159640001,0.176719258305,3.84315578571,0.00012146231337,0.00751288845622
Dqua|LOC106747022,38943.2214789,0.75574065139,0.197353192724,3.82938143011,0.000128465760819,0.0078089943742
Dqua|LOC106749492,1843.08517536,1.330974567,0.347693976476,3.82800582422,0.000129185700272,0.0078089943742
Dqua|LOC106749527,5121.44094647,-1.01036904231,0.26383038792,-3.82961587661,0.000128343438267,0.0078089943742
Dqua|LOC106751622,156.344361332,1.10783084579,0.289422160418,3.82773331591,0.000129328771182,0.0078089943742
Dqua|LOC106742433,52.2474569083,1.33805645489,0.349906850692,3.82403617488,0.000131284639946,0.00783383169185
Dqua|LOC106742702,1438.66969798,-0.679270570395,0.177603572771,-3.82464473996,0.000130960790731,0.00783383169185
Dqua|LOC106748210,262.78551438,-1.35636718677,0.355228703497,-3.81829276019,0.000134378401261,0.00797154679764
