,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Aech|LOC105144851,965.469447078,-1.29423076917,0.181628844888,7.12568958948,1.03560873046e-12,8.34998766537e-11
Aech|LOC105146014,46.6332718936,2.91397158195,0.409416110177,-7.11738378026,1.09994898413e-12,8.73638584931e-11
Aech|LOC105149533,301.431173901,1.61903814015,0.227449730879,-7.11822403085,1.09326569734e-12,8.73638584931e-11
Aech|LOC105145810,624.434403389,-1.25158864348,0.176062440688,7.10877708267,1.17075662467e-12,9.22989833801e-11
Aech|LOC105151159,5364.13397454,2.39210417024,0.337256080987,-7.09284222019,1.31385224005e-12,1.02818598462e-10
Aech|LOC105148773,3340.56851986,1.58528467939,0.223576591815,-7.09056644311,1.33564170958e-12,1.03760837337e-10
Aech|LOC105144332,115.663914511,2.15661868281,0.304769461196,-7.07622960103,1.48129363406e-12,1.13420202499e-10
Aech|LOC105152503,791.030010435,-2.15544817055,0.304576659168,7.0768658913,1.47451099562e-12,1.13420202499e-10
Aech|LOC105147485,1022.28199349,-1.30614798561,0.184638429355,7.07408522795,1.504378106e-12,1.14364972729e-10
Aech|LOC105146073,5593.71859024,-0.788686658434,0.111612814958,7.06627333725,1.59149787258e-12,1.20129871332e-10
Aech|LOC105147782,120.128560055,2.31673994539,0.328135864955,-7.06030700335,1.66135142294e-12,1.24519459115e-10
Aech|LOC105151745,3571.95819979,1.67044681853,0.237160651353,-7.04352433256,1.87437250272e-12,1.38534351017e-10
Aech|LOC105154865,1442.87769946,2.35349249259,0.334129967134,-7.04364386344,1.87276447123e-12,1.38534351017e-10
Aech|LOC105148335,1417.72454005,-0.825839407198,0.117387089909,7.03518085197,1.99002715279e-12,1.46067993015e-10
Aech|LOC105143519,3503.72649102,2.08575301566,0.298403901894,-6.98969752883,2.75479507026e-12,2.00817013238e-10
Aech|LOC105154661,746.16529604,1.77199908722,0.253729003915,-6.98382549836,2.87248820839e-12,2.07972054435e-10
Aech|LOC105149051,12.335344557,3.63705135171,0.521381366236,-6.97579849845,3.04138383819e-12,2.1871248777e-10
Aech|LOC105153492,107.660668541,1.6415831505,0.235810757735,-6.96144300739,3.36804814025e-12,2.40578096354e-10
Aech|LOC105151624,1706.65054936,-1.52290382311,0.218962862996,6.95507814555,3.52366659397e-12,2.50015890397e-10
Aech|LOC105145442,26023.248031,-1.35318382559,0.194700721179,6.95007094683,3.65102553752e-12,2.57336852953e-10
Aech|LOC105152744,656.100272327,2.09222162831,0.301336608512,-6.94313790364,3.83484732347e-12,2.68515000419e-10
Aech|LOC105149707,2266.76490819,1.17274932369,0.169002172842,-6.93925589222,3.94170583387e-12,2.74193301895e-10
Aech|LOC105145836,6775.74113999,1.56074717309,0.225296685641,-6.92751945575,4.28283657866e-12,2.95988504589e-10
Aech|LOC105150325,198.467041456,1.69224606529,0.244447129831,-6.92274876149,4.42962979779e-12,3.04158386696e-10
Aech|LOC105154082,3698.8749308,-1.04467916907,0.15103986418,6.91657910804,4.62680098086e-12,3.15660531021e-10
Aech|LOC105149969,4941.90760462,-1.31670004627,0.19112255214,6.88929711082,5.60687277276e-12,3.80088833889e-10
Aech|LOC105146033,1169.16999197,-1.51155562211,0.219607652924,6.88298245524,5.86122487673e-12,3.9481655926e-10
Aech|LOC105152091,1017.84857613,1.7065720203,0.248078022239,-6.8791745633,6.02003555369e-12,4.02963763509e-10
Aech|LOC105150007,10466.6112356,-1.27149497786,0.184929463343,6.87556733724,6.174363266e-12,4.107109265e-10
Aech|LOC105143306,370.839805773,-1.17945028601,0.171601437806,6.87319582571,6.27792905626e-12,4.12444437937e-10
Aech|LOC105144020,1023.90271444,-1.03979988351,0.151274595881,6.87359220799,6.26050100177e-12,4.12444437937e-10
Aech|LOC105151782,231.368068068,1.9046969642,0.27727972824,-6.8692254435,6.45514246231e-12,4.21485160898e-10
Aech|LOC105147653,68.2721207359,2.71192586879,0.395180627343,-6.86249699795,6.76671612537e-12,4.39135120258e-10
Aech|LOC105153026,440.049959374,1.06631466944,0.155508287093,-6.85696363434,7.03395272141e-12,4.53711265539e-10
Aech|LOC105145692,1263.06438343,0.963702640012,0.140668092285,-6.85089720317,7.33882400183e-12,4.67707208692e-10
Aech|LOC105148709,1454.15974679,-1.00739109034,0.147038775483,6.85119341498,7.32364157641e-12,4.67707208692e-10
Aech|LOC105150475,247.460643797,2.15694318449,0.314980277478,-6.84786743399,7.49589763383e-12,4.74874038791e-10
Aech|LOC105144929,2090.45667973,1.96714097983,0.288189235009,-6.82586558021,8.73967351718e-12,5.4715497202e-10
Aech|LOC105148320,597.995081723,2.04427020828,0.299454784111,-6.82664067082,8.69260569025e-12,5.4715497202e-10
Aech|LOC105152412,2991.94052508,-1.0126867912,0.14849488918,6.81967437929,9.12470938454e-12,5.67919777659e-10
Aech|LOC105150870,778.150947135,1.92054480298,0.28174589947,-6.81658475454,9.32302347774e-12,5.76889179498e-10
Aech|LOC105150506,10132.6411353,2.56878802369,0.377536167899,-6.80408459404,1.01693772936e-11,6.25622442404e-10
Aech|LOC105148693,328.159871964,-1.50421705805,0.221279173734,6.7978248141,1.06210492852e-11,6.49654181277e-10
Aech|LOC105146142,100.601324693,1.81958442895,0.268289621501,-6.78216480669,1.18388307325e-11,7.20003859921e-10
Aech|LOC105152530,87.5869525128,2.89826973232,0.428279603751,-6.76723735368,1.31264640905e-11,7.93778166566e-10
Aech|LOC105145278,462.576209352,-1.18086572104,0.174979463708,6.74859606958,1.49282542732e-11,8.97635086046e-10
Aech|LOC105146214,1134.21113565,1.70482679305,0.252949736126,-6.73978482509,1.58621361456e-11,9.48430983132e-10
Aech|LOC105147836,501.049922304,-1.36359932424,0.202456779326,6.73526136679,1.63635519421e-11,9.72945716871e-10
Aech|LOC105148639,328.405349486,-1.40601385293,0.209649700759,6.70649110322,1.99359996134e-11,1.17877135492e-09
Aech|LOC105144594,1746.05720423,-1.25950683726,0.188208452754,6.69208432899,2.20014008528e-11,1.29370668109e-09
Aech|LOC105154479,321.874999715,1.7436555643,0.260864794452,-6.68413523551,2.32292221329e-11,1.35839896242e-09
Aech|LOC105143962,280.538100247,-2.85093936412,0.427499400484,6.66887336192,2.57774555096e-11,1.49917737152e-09
Aech|LOC105144592,1005.6817125,-1.31137420408,0.196941570626,6.65869678969,2.76266206238e-11,1.59798980054e-09
Aech|LOC105145870,5761.5815647,-1.35361032566,0.2033987772,6.65495803019,2.83380906425e-11,1.63028269572e-09
Aech|LOC105148832,23733.768749,-1.20900121757,0.181787538755,6.65062757244,2.91845911393e-11,1.6699548575e-09
Aech|LOC105149116,598.257587962,1.38832395688,0.209471930705,-6.62773266191,3.40882100024e-11,1.94011133185e-09
Aech|LOC105153172,1016.55128857,1.65316850195,0.250175818155,-6.6080267635,3.89476289886e-11,2.19975726255e-09
Aech|LOC105154582,351.320928481,-2.16572149186,0.32776287153,6.60758639851,3.90636214058e-11,2.19975726255e-09
Aech|LOC105150788,3325.95747913,1.44681900055,0.2190450778,-6.60511989167,3.97195766424e-11,2.21327462934e-09
Aech|LOC105151791,713.204893965,1.65926639047,0.251205045896,-6.6052271544,3.96908278119e-11,2.21327462934e-09
Aech|LOC105145869,701.169341442,-1.1352998318,0.171934844796,6.60308172638,4.02697389995e-11,2.23224391756e-09
Aech|LOC105154201,8514.13592813,-1.01426870458,0.153963345506,6.5877284054,4.46606629701e-11,2.46281573052e-09
Aech|LOC105144316,3108.30439401,1.37909544674,0.209573359187,-6.58049024976,4.68899582995e-11,2.57242178444e-09
Aech|LOC105143022,3519.03468995,-1.19903873978,0.18259826795,6.5665395036,5.14979901654e-11,2.810733894e-09
Aech|LOC105149314,950.464007178,0.991307374907,0.151212776372,-6.55571175065,5.53771077041e-11,3.00703345558e-09
Aech|LOC105143793,1412.33935593,1.40179110957,0.214455702215,-6.53650658432,6.29723670434e-11,3.40210610377e-09
Aech|LOC105150199,2243.29948352,-1.29830983841,0.198783857777,6.5312639212,6.52169586231e-11,3.50557621528e-09
Aech|LOC105143858,657.6056024,2.76566933309,0.423511081025,-6.53033523089,6.56226447433e-11,3.50965732665e-09
Aech|LOC105152371,3995.8108482,-0.942767961201,0.144944192601,6.50435139402,7.80293083274e-11,4.15232964264e-09
Aech|LOC105150428,1918.14604159,1.57609047822,0.242719971393,-6.49345197749,8.38915160945e-11,4.44207664574e-09
Aech|LOC105152749,12.292945666,3.25296285961,0.501195720935,-6.49040429464,8.56063333612e-11,4.51043666318e-09
Aech|LOC105150816,3195.59521094,-1.05633845888,0.164200983212,6.43320422461,1.24941595799e-10,6.55050937975e-09
Aech|LOC105149484,157.456661164,2.1208082359,0.329997034955,-6.42674936817,1.30361491139e-10,6.80116348131e-09
Aech|LOC105148450,9515.56953226,-1.20629520259,0.187950816944,6.41814290674,1.37946734929e-10,7.16179073097e-09
Aech|LOC105146187,7743.14635796,1.97387068332,0.307726975985,-6.41435700269,1.41418459422e-10,7.30639157099e-09
Aech|LOC105147629,151.699068522,1.42122287546,0.221887389118,-6.40515389858,1.50217778171e-10,7.72351600521e-09
Aech|LOC105145838,3828.80897045,-1.00955893418,0.158369193343,6.37471791617,1.83300013214e-10,9.37914442612e-09
Aech|LOC105154619,826.068545634,1.83987563394,0.288821037845,-6.3702964565,1.88663169776e-10,9.60737854511e-09
Aech|LOC105151820,26.162196296,2.90979413677,0.457295225838,-6.36305382684,1.97781339211e-10,1.00237466344e-08
Aech|LOC105153955,3523.24970597,-1.25423527519,0.197405378109,6.35360235472,2.10330122233e-10,1.06092108574e-08
Aech|LOC105147167,1020.2300346,1.39495944234,0.219629058572,-6.35143387406,2.13317110947e-10,1.07091226972e-08
Aech|LOC105153435,261.22303206,1.54144942095,0.242776918076,-6.3492420662,2.16378329018e-10,1.0811805426e-08
Aech|LOC105152467,77.7964395059,2.10282918969,0.331860410192,-6.33648704428,2.35062937317e-10,1.16905366442e-08
Aech|LOC105146862,215.12759169,1.44384243933,0.228117313884,-6.32938559002,2.4613931879e-10,1.21844686971e-08
Aech|LOC105143247,6802.04852745,-1.30532146107,0.206342444576,6.32599591304,2.51604474873e-10,1.23973445651e-08
Aech|LOC105149317,1114.84306025,1.64332681569,0.260401266527,-6.31074816806,2.77689737297e-10,1.36195938896e-08
Aech|LOC105144793,1703.33336798,1.8079615387,0.286541670079,-6.30959377811,2.79768805486e-10,1.36586210862e-08
Aech|LOC105151329,848.291210172,1.48362558885,0.235396687781,-6.30266127717,2.92577837533e-10,1.42187485154e-08
